,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2025年
,GDP(亿元),GDP(亿元),GDP(亿元),GDP(亿元),GDP(亿元),GDP(亿元),GDP(亿元),GDP增速(%),GDP增速(%),GDP增速(%),GDP增速(%),GDP增速(%),GDP增速(%),GDP增速(%),固定资产投资增速(%),固定资产投资增速(%),固定资产投资增速(%),固定资产投资增速(%),固定资产投资增速(%),固定资产投资增速(%),固定资产投资增速(%),一般公共预算收入(亿元),一般公共预算收入(亿元),一般公共预算收入(亿元),一般公共预算收入(亿元),一般公共预算收入(亿元),一般公共预算收入(亿元),一般公共预算收入(亿元),政府性基金收入(亿元),政府性基金收入(亿元),政府性基金收入(亿元),政府性基金收入(亿元),政府性基金收入(亿元),政府性基金收入(亿元),政府性基金收入(亿元),一般公共预算收入:税收收入(亿元),一般公共预算收入:税收收入(亿元),一般公共预算收入:税收收入(亿元),一般公共预算收入:税收收入(亿元),一般公共预算收入:税收收入(亿元),一般公共预算收入:税收收入(亿元),一般公共预算收入:税收收入(亿元),政府性基金收入:土地出让收入(亿元),政府性基金收入:土地出让收入(亿元),政府性基金收入:土地出让收入(亿元),政府性基金收入:土地出让收入(亿元),政府性基金收入:土地出让收入(亿元),政府性基金收入:土地出让收入(亿元),政府性基金收入:土地出让收入(亿元),上市公司数目
北京,"52,073.40","49,670.20","47,353.70","45,222.40","44,350.70","38,503.60","37,767.00",5.4,5.1,5.5,1,9.2,1.4,6.4,5.5,5.1,4.93,3.64,4.9,2.2,-2.4,"6,680.56","6,372.68","6,181.10","5,714.36","5,932.31","5,483.89","5,817.10","2,193.90","2,094.85","2,110.31","2,227.46","2,705.73","2,317.35","2,216.30","5,775.57","5,473.16","5,357.09","4,867.07","5,164.64","4,643.87","4,822.98","1,908.79","1,920.54","1,946.89","2,100.79","2,541.78","2,187.59","2,033.73", 478 
天津,"18,539.82","17,931.55","17,211.79","16,588.52","16,093.24","14,230.77","14,097.16",4.8,4.9,4.5,1.2,6.8,1.5,4.8,1.6,3.06,-16.44,-9.94,4.83,3.05,13.1,"2,221.73","2,134.20","2,027.51","1,846.69","2,141.06","1,923.11","2,410.41",605.48,688.56,589.61,423.66,"1,126.50",911.93,"1,430.79","1,690.39","1,621.25","1,579.13","1,346.94","1,621.89","1,500.14","1,634.35",521.25,592.71,537.2,378.97,"1,086.91",861.03,"1,361.38", 72 
河北,"49,305.20","47,448.10","45,660.00","43,198.30","41,205.40","36,821.50","34,978.60",5.6,5.4,5.7,3.8,6.7,4,6.7,6.1,6.8,6.3,7.9,3,3.2,6.5,"4,398.57","4,310.85","4,286.60","4,056.30","4,167.62","3,826.46","3,738.99","1,840.66","1,878.59","2,230.27","2,018.13","2,807.17","3,164.95","3,318.38","2,638.42","2,551.16","2,578.11","2,242.89","2,735.73","2,527.28","2,630.73","1,491.05","1,583.76","1,912.13","1,720.35","2,454.02","2,767.35","2,717.83", 85 
山西,"25,495.68","25,353.50","26,050.83","25,653.19","23,087.80","18,202.73","17,310.99",4,2.2,5.09,4.45,9.44,3.69,6.31,-0.4,3.15,-6.28,5.48,8.7,10.6,9.3,"3,218.60","3,542.24","3,479.37","3,453.99","2,834.47","2,296.57","2,347.75",461.91,520.01,601.77,628.98,980.45,"1,151.98","1,186.31","2,142.10","2,300.16","2,557.05","2,696.55","2,094.72","1,625.99","1,783.66",,388.25,457.42,503.56,824.7,"1,025.42","1,056.77", 41 
内蒙古,"26,710.34","26,337.00","25,020.00","23,796.00","21,585.00","17,623.00","17,212.53",4.66,5.8,7.4,4.5,6.9,0.3,5.2,4,13.6,19.4,16.8,9.8,-1.5,6.7,"3,005.20","3,150.57","3,083.64","2,824.39","2,349.95","2,051.20","2,059.69",452.4,520.65,478.3,407.68,504.92,656.43,637.39,"2,115.60","2,212.42","2,331.22","2,134.40","1,671.05","1,457.76","1,539.69",,412.13,375.25,323.21,420.26,570.7,520.91, 29 
辽宁,"33,182.90","32,540.80","31,389.80","28,826.10","27,569.49","25,011.40","24,855.26",3.7,5.1,5.3,2,5.8,0.6,5.44,-19,5.3,3.73,3.3,2.82,2.38,0.7,"2,918.20","2,906.94","2,755.29","2,525.07","2,765.59","2,655.75","2,652.40",439,501.25,448.62,524.44,"1,185.24","1,351.42","1,241.54",,"1,838.69","1,871.05","1,664.39","1,970.87","1,879.06","1,929.52",,406.59,355.75,425.55,"1,051.37","1,211.25","1,081.84", 84 
吉林,"14,973.88","14,305.01","13,942.71","12,818.06","13,163.84","12,255.98","11,726.82",5,4.2,6.3,-2.1,6.5,2.3,3,-13.1,0.7,0.3,-2.4,11,8.3,-16.2,"1,350.00","1,191.40","1,074.80",851,"1,144.00","1,085.02","1,116.95",460.3,494.9,589,365.7,938.4,"1,021.20",665.3,711.4,682.1,699.6,570.6,809.4,771.95,797.98,347.7,407.9,496,289.4,844,946,593.3, 48 
黑龙江,"16,878.00","16,478.10","16,470.70","16,359.20","15,292.78","14,000.07","13,962.52",4.2,3.2,2.84,2.84,6.23,1,4.06,-10.3,6,-14.8,0.6,6.4,3.6,6.3,"1,534.98","1,452.34","1,396.15","1,290.66","1,300.51","1,152.51","1,262.76",180.88,167.2,148.18,152.92,370.34,449.44,377.87,859.69,871.83,859.65,793.37,870.18,811.92,924.4,108,107.66,91.74,108.28,304.29,395.89,286.96, 38 
上海,"56,708.71","53,759.53","51,404.47","44,809.13","43,653.17","38,963.30","37,987.55",5.4,5,5,-0.1,8.3,1.7,6,4.6,4.8,13.8,-1,8.1,10.3,5.1,"8,500.90","8,374.17","8,312.50","7,608.19","7,771.80","7,046.30","7,165.10","3,039.60","3,202.80","3,466.70","4,041.50","3,769.00","3,175.00","2,418.10","7,318.50","7,082.67","7,109.14","6,349.17","6,606.74","5,841.88","6,216.29","2,804.30","2,976.00","3,196.50","3,798.70","3,527.50","2,983.50","2,248.50", 452 
江苏,"142,351.50","136,696.90","130,924.30","124,564.20","119,853.18","104,566.56","99,836.92",5.3,5.7,5.9,2.7,9.1,3.8,6,-12.7,1.5,5.2,3.8,5.8,0.3,5.1,"10,245.66","10,038.16","9,930.18","9,258.88","10,015.16","9,058.99","8,802.36","6,472.47","8,097.43","10,316.13","11,478.58","13,632.95","11,359.39","9,249.59","7,929.04","7,642.03","7,976.99","6,803.22","8,171.30","7,413.86","7,339.59","5,588.93","7,270.18","9,482.20","10,690.40","12,788.98","10,618.29","8,564.23", 724 
浙江,"94,545.00","90,007.00","85,619.62","80,770.04","76,765.29","67,164.46","64,631.98",5.5,5.5,6.2,3.4,8.9,3.8,7,-9.1,0.4,6.1,9.1,10.8,5.4,10.1,"8,865.10","8,707.57","8,600.51","8,039.85","8,262.64","7,248.24","7,048.58","5,869.99","6,168.85","8,363.13","10,068.97","11,647.28","11,353.35","10,607.82","7,172.75","6,995.67","7,124.55","6,620.33","7,171.97","6,261.75","5,898.75","4,346.05","4,720.74","6,469.99","8,336.15","10,372.30","10,274.49","8,259.54", 736 
安徽,"52,989.00","50,625.00","48,227.00","45,525.00","43,103.00","38,629.00","36,845.49",5.5,5.8,5.8,3.3,8.2,3.7,7.3,-9.2,4.7,4,9,9.4,5.1,9.2,"4,157.28","4,041.60","3,939.20","3,589.10","3,498.20","3,216.00","3,182.71","1,629.14","1,982.70","2,305.30","3,091.03","3,516.20","3,144.58","3,374.19","2,680.31","2,601.60","2,592.90","2,246.62","2,389.89","2,199.48","2,209.56","1,305.48","1,735.05","2,084.64","2,822.25","3,243.41","2,864.18","3,113.10", 186 
福建,"60,199.45","57,476.58","54,801.70","52,099.64","49,602.64","43,682.03","42,479.11",5,5.4,4.5,4.2,8.3,3.2,7.5,-3.3,3.9,2.5,7.5,6,-0.4,5.9,"3,723.35","3,615.29","3,592.04","3,339.21","3,383.40","3,079.04","3,052.93","1,680.45","1,939.02","2,070.68","2,631.32","3,342.72","3,429.71","2,569.68","2,371.90","2,329.69","2,341.94","2,092.36","2,493.14","2,184.72","2,208.98","1,514.81","1,787.51","1,920.67","2,492.79","3,193.14","3,278.86","2,425.66", 176 
江西,"36,020.00","34,227.88","32,677.10","31,213.82","29,827.83","25,781.95","24,667.29",5.2,5.1,4.1,4.3,8.9,3.8,7.9,1.6,4.8,-5.9,8.6,10.8,8.2,9.2,"3,079.20","3,066.92","3,059.59","2,948.33","2,812.23","2,507.54","2,487.39","1,592.70","1,813.90","2,114.60","2,252.00","2,971.80","3,101.50","2,541.10","1,969.70","1,956.96","2,021.80","1,788.91","1,929.33","1,701.92","1,747.63","1,096.60","1,360.00","1,768.10","1,959.90","2,674.30","2,835.50","2,294.20", 91 
山东,"103,197.50","98,407.00","94,206.41","89,519.42","84,837.97","74,355.86","72,024.32",5.5,5.6,6.07,3.96,8.47,3.6,5.42,-8.6,3.3,4.6,6.1,5.1,3.3,-8.3,"7,864.26","7,711.74","7,464.78","7,104.10","7,284.46","6,559.93","6,526.71","4,254.49","4,832.12","4,925.37","6,080.87","7,976.94","7,278.99","6,742.71","5,109.71","5,039.89","5,229.66","4,795.52","5,475.99","4,757.62","4,849.29","3,258.36","3,972.53","4,156.13","5,396.25","7,137.14","6,650.24","6,086.38", 311 
河南,"66,632.79","63,557.10","60,627.70","58,807.44","57,806.91","54,160.58","53,739.29",5.6,5.1,4.2,2.4,5.9,1.1,6.8,4,7,2.1,6.7,4.5,4.3,8,"4,501.70","4,392.67","4,518.10","4,250.35","4,353.92","4,168.84","4,041.89","1,583.30","1,858.23","1,932.16","2,217.45","3,368.07","3,737.94","4,080.25","2,759.00","2,736.28","2,855.48","2,590.47","2,842.56","2,764.73","2,841.34","1,069.20","1,478.23","1,617.88","1,930.70","2,969.63","3,272.62","3,514.87", 113 
湖北,"62,660.90","59,644.31","56,794.00","52,741.70","50,091.23","43,004.49","45,428.96",5.5,5.6,6,4.3,12.9,-5.4,7.25,2.6,6.5,5,15,20.4,-18.8,10.6,"4,210.55","3,937.88","3,692.79","3,281.13","3,283.32","2,511.54","3,388.57","2,859.72","2,879.82","2,884.77","2,870.84","3,912.90","3,229.28","3,474.91","2,733.89","2,653.08","2,673.15","2,411.64","2,559.68","1,923.45","2,530.82","2,312.79","2,430.99","2,307.20","2,452.75","3,444.64","2,907.85","3,103.88", 152 
湖南,"55,308.65","53,084.70","50,667.50","47,957.88","45,751.85","41,693.71","39,930.75",4.8,4.7,4.7,4.2,7.6,3.8,7.6,-11.7,2.8,-3.1,6.6,8,7.6,10.1,"3,507.60","3,449.27","3,360.50","3,101.76","3,250.69","3,008.66","3,007.10","1,793.10","1,777.20","2,621.80","3,192.00","3,808.00","3,356.10","2,993.90","2,037.50","2,143.07","2,208.51","2,004.46","2,245.99","2,057.98","2,061.90","1,160.80","1,458.60","2,283.00","2,952.60","3,605.20","3,195.00","2,656.00", 146 
广东,"145,846.76","141,488.86","137,905.42","132,547.11","127,577.42","113,708.86","110,468.05",3.9,3.5,4.92,2.12,8.27,2.41,6.28,-17.3,-4.5,2.5,-2.6,6.3,7.2,11.1,"13,938.94","13,533.98","13,850.78","13,260.88","14,105.04","12,923.85","12,654.53","3,184.69","3,450.17","4,501.88","5,196.73","8,491.91","8,642.42","6,114.94","10,211.24","9,817.74","10,244.77","9,286.11","10,785.23","9,881.95","10,063.95","2,415.81","2,698.50","3,810.16","4,665.66","7,861.30","8,031.97","5,528.79", 891 
广西,"29,727.45","28,694.14","27,501.66","26,419.65","25,311.55","22,250.68","21,237.14",5.1,4.2,4.1,2.8,7.9,3.7,5.95,-8.2,-3.2,-15.45,-0.3,7.6,4.2,9.6,"1,922.05","1,837.32","1,783.80","1,687.72","1,800.15","1,716.94","1,811.89",597.25,715.15,880.66,"1,111.34","1,729.18","1,938.97","1,699.29","1,130.96","1,088.98","1,081.99",930.37,"1,191.09","1,113.22","1,146.78",368.88,544.59,707.35,947.55,"1,576.85","1,826.89","1,566.63", 42 
海南,"8,108.85","7,972.71","7,590.21","6,889.62","6,504.10","5,566.24","5,330.84",4,3.8,9.2,0.4,11.3,3.5,5.8,-16.5,7.1,1.1,-4.2,10.2,8,-9.2,903.74,890.51,900.71,832.43,921.16,816.06,814.14,349.02,407.69,463.89,468.86,394.11,522.55,455.81,690.13,660.59,667.37,609.33,742.93,559.82,653.25,284.95,337.41,391.35,399.56,304.7,442.53,368.04, 27 
重庆,"33,757.93","32,046.73","30,614.28","28,576.10","28,077.28","25,041.43","23,605.77",5.3,5.6,6.1,2.5,8.4,3.9,6.3,-0.7,0.1,4.3,0.7,6.1,3.9,5.7,"2,735.83","2,595.55","2,440.77","2,103.42","2,285.45","2,094.85","2,134.93","1,593.38","1,722.60","1,878.62","1,753.95","2,357.94","2,457.86","2,247.93","1,555.76","1,521.52","1,476.09","1,270.94","1,543.40","1,430.72","1,541.22","1,369.42","1,527.75","1,694.93","1,561.86","2,043.67","2,201.65","1,880.23", 79 
四川,"67,665.34","64,537.85","61,353.40","56,610.20","54,087.98","48,501.64","46,363.75",5.5,5.6,6,2.8,8.2,3.8,7.4,-2.4,2.4,2.4,8.4,10.1,2.8,8.6,"5,853.87","5,635.60","5,529.09","4,880.55","4,773.15","4,260.89","4,070.83","3,789.29","3,761.24","4,515.73","4,646.92","4,951.48","4,782.78","4,184.74","3,732.10","3,601.04","3,700.90","3,151.43","3,334.86","2,967.20","2,888.74","3,146.96","3,182.73","3,951.58","4,281.00","4,441.41","4,366.66","3,777.22", 178 
贵州,"23,562.17","22,645.70","21,513.70","20,010.40","19,458.60","17,860.41","16,769.34",4.9,5.3,4.9,1.1,8.1,4.5,8.3,-3.7,0.6,-5.7,-5.1,-3.1,3.2,1,"2,223.23","2,170.00","2,078.37","1,886.41","1,969.39","1,786.80","1,767.47","2,575.69","2,315.28","2,282.04","2,041.26","2,380.70","2,047.23","1,710.95","1,260.51","1,243.30","1,221.87","1,021.76","1,177.15","1,086.04","1,204.02","1,008.09","1,749.24","1,921.67","1,949.55","2,107.41","1,860.87","1,622.23", 34 
