,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2025年
省份,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,政府性债务余额
安徽,"3,183","3,374","10,991","7,936","8,913",72.20%,"14,220",201.60%,绿,橙,"3,216","3,145","11,230","9,600","10,691",85.50%,"16,411",231.60%,绿,橙,"3,498","3,516","11,904","11,576","12,548",97.20%,"18,537",253.00%,绿,橙,"3,589","3,091","12,477","13,304","14,371",106.60%,"21,425",278.30%,绿,橙,"3,939","2,305","12,332","15,713","15,975",127.40%,"23,470",317.70%,黄,红,"4,042","1,983","12,804","18,527","20,808",144.70%,"26,873",354.60%,黄,红," 21,400 "
北京,"5,817","2,216","9,205","4,964","9,119",53.90%,"13,176",197.10%,绿,黄,"5,484","2,317","9,302","6,064","10,266",65.20%,"14,315",219.10%,绿,橙,"5,932","2,706","9,873","8,771","11,277",88.80%,"14,213",232.80%,绿,橙,"5,714","2,227","9,805","10,565","12,202",107.80%,"14,891",259.60%,绿,橙,"6,181","2,110","10,580","11,376","12,879",107.50%,"15,285",252.00%,绿,橙,"6,373","2,095","11,138","12,580","13,898",112.90%,"18,892",282.60%,绿,橙," 13,934 "
福建,"3,053","2,570","8,342","7,034","7,799",84.30%,"11,043",216.70%,绿,橙,"3,079","3,430","8,238","8,339","9,639",101.20%,"13,943",270.50%,绿,橙,"3,383","3,343","8,567","10,091","11,288",117.80%,"15,436",298.00%,绿,橙,"3,339","2,631","7,976","11,903","12,857",149.20%,"19,173",389.60%,黄,红,"3,592","2,071","9,893","13,811","14,332",139.60%,"21,488",356.80%,黄,红,"3,615","1,939","8,000","16,304","17,778",203.80%,"21,227",469.10%,橙,红," 18,919 "
甘肃,850,521,"4,287","3,117","3,407",72.70%,"5,282",195.90%,绿,黄,875,649,"5,087","3,942","4,352",77.50%,"5,960",194.70%,绿,黄,"1,002",589,"5,050","4,896","5,222",96.90%,"6,244",220.60%,绿,橙,908,368,"5,119","6,087","6,391",118.90%,"6,480",245.50%,绿,橙,"1,004",372,"5,471","7,107","7,258",129.90%,"6,965",257.20%,黄,橙,"1,051",327,"5,969","8,313","9,373",139.30%,"6,776",252.80%,黄,橙," 9,524 "
广东,"12,651","6,112","21,749","11,949","14,198",54.90%,"9,037",96.50%,绿,绿,"12,922","8,642","24,056","15,316","17,506",63.70%,"12,666",116.30%,绿,绿,"14,103","8,491","25,934","20,415","21,645",78.70%,"15,618",138.90%,绿,黄,"13,280","5,196","25,709","25,071","26,258",97.50%,"19,068",171.70%,绿,黄,"13,851","4,502","24,645","29,882","30,318",121.20%,"22,146",211.10%,黄,橙,"13,533","3,452","22,515","35,261","35,673",156.60%,"29,706",288.60%,黄,橙," 41,460 "
广西,"1,812","1,699","7,264","6,355","6,866",87.50%,"11,100",240.30%,绿,橙,"1,717","1,939","8,022","7,615","7,946",94.90%,"13,476",262.90%,绿,橙,"1,800","1,729","7,746","8,561","9,057",110.50%,"16,243",320.20%,绿,红,"1,688","1,111","9,036","9,722","10,084",107.60%,"17,886",305.50%,绿,红,"1,784",881,"7,862","11,552","11,793",146.90%,"19,605",396.30%,黄,红,"1,837",715,"8,693","13,147","14,394",151.20%,"18,433",363.30%,黄,红," 14,753 "
贵州,"1,767","1,711","7,582","9,673","10,193",127.60%,"14,644",320.70%,黄,红,"1,787","2,047","8,164","10,989","11,658",134.60%,"16,056",331.30%,黄,红,"1,970","2,381","8,613","11,874","12,365",137.90%,"16,342",327.60%,黄,红,"1,886","2,041","8,784","12,473","12,962",142.00%,"16,786",333.10%,黄,红,"2,078","2,282","8,904","15,125","16,172",169.90%,"16,028",349.90%,黄,红,"2,170","2,315","9,024","17,537","20,362",194.30%,"15,234",363.10%,黄,红," 19,369 "
海南,814,456,"2,443","2,230","2,426",91.30%,33,92.70%,绿,绿,816,523,"2,644","2,624","2,811",99.20%,70,101.90%,绿,绿,921,394,"2,669","3,008","3,257",112.70%,101,116.50%,绿,绿,832,469,"2,951","3,487","3,703",48.20%,141,50.20%,绿,绿,901,464,"3,102","4,106","4,213",132.40%,178,138.10%,黄,黄,890,408,"3,167","4,988","5,408",157.50%,211,164.20%,黄,黄," 5,783 "
河北,"3,739","3,318","11,823","8,754","10,208",74.00%,"5,845",123.50%,绿,黄,"3,826","3,161","11,411","11,016","12,442",96.50%,"7,449",161.80%,绿,黄,"4,168","2,807","11,266","13,226","14,842",117.40%,"8,051",188.90%,绿,黄,"4,084","2,016","9,681","15,749","17,159",167.40%,"9,389",267.30%,黄,橙,"4,286","2,230","12,271","18,427","19,060",150.20%,"10,211",233.40%,黄,橙,"4,501","2,809","12,931","20,708","21,820",160.10%,"14,229",270.20%,黄,橙," 23,658 "
河南,"4,042","4,080","13,718","7,910","9,729",57.70%,"12,795",150.90%,绿,黄,"4,155","3,752","13,041","9,822","11,851",75.30%,"15,847",196.80%,绿,黄,"4,354","3,368","13,996","12,396","14,259",88.60%,"18,382",219.90%,绿,橙,"4,262","2,213","14,787","15,130","16,434",102.30%,"23,639",262.20%,绿,橙,"4,512","1,936","15,485","17,893","18,047",115.50%,"26,694",287.90%,绿,橙,"4,399","1,857","16,174","21,306","23,998",131.70%,"30,023",317.30%,黄,红," 24,884 "
